Seed,Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
1674292617,Test2,None,LogReg-5ep-s1674292617,DoS Slowhttptest,0.6640625,0.8757575757575757,0.7553580763199164,1650.0,5499
1674292617,Test2,None,LogReg-5ep-s1674292617,DoS slowloris,0.42853375527426163,0.9344450833812536,0.5875971795335383,1739.0,5796
1674292617,Test2,None,RF-5ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
1674292617,Test2,None,RF-5ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-5ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
1674292617,Test2,None,XGB-5ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-5ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-5ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,None,MLP-10ep-s1674292617,BENIGN,0.9682624349913321,0.9681333333333333,0.9681978798586572,15000.0,50000
1674292617,Test2,None,MLP-10ep-s1674292617,DoS Slowhttptest,0.8733062330623306,0.7812121212121212,0.8246960972488804,1650.0,5499
1674292617,Test2,None,MLP-10ep-s1674292617,DoS slowloris,0.7331592689295039,0.8073605520414031,0.7684729064039408,1739.0,5796
1674292617,Test2,None,LogReg-10ep-s1674292617,BENIGN,0.9946789890079115,0.9471333333333334,0.9703240788170611,15000.0,50000
1674292617,Test2,None,LogReg-10ep-s1674292617,DoS Slowhttptest,0.831638418079096,0.8921212121212121,0.8608187134502924,1650.0,5499
1674292617,Test2,None,LogReg-10ep-s1674292617,DoS slowloris,0.6943493150684932,0.9327199539965497,0.7960736196319018,1739.0,5796
1674292617,Test2,None,RF-10ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
1674292617,Test2,None,RF-10ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-10ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
