Seed,Scenario,Augmentation,Model,ActualClass,Pred_BENIGN,Pred_DoS Slowhttptest,Pred_DoS slowloris
1674292617,Test2,None,RF-15ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-15ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-15ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-15ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-15ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-20ep-s1674292617,BENIGN,14749,189,62
1674292617,Test2,None,MLP-20ep-s1674292617,DoS Slowhttptest,126,1503,21
1674292617,Test2,None,MLP-20ep-s1674292617,DoS slowloris,539,153,1047
1674292617,Test2,None,LogReg-20ep-s1674292617,BENIGN,14622,160,218
1674292617,Test2,None,LogReg-20ep-s1674292617,DoS Slowhttptest,2,1613,35
1674292617,Test2,None,LogReg-20ep-s1674292617,DoS slowloris,9,80,1650
1674292617,Test2,None,RF-20ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-20ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-20ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-20ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-20ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-20ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-25ep-s1674292617,BENIGN,14907,54,39
1674292617,Test2,None,MLP-25ep-s1674292617,DoS Slowhttptest,190,1406,54
1674292617,Test2,None,MLP-25ep-s1674292617,DoS slowloris,573,143,1023
1674292617,Test2,None,LogReg-25ep-s1674292617,BENIGN,14596,192,212
1674292617,Test2,None,LogReg-25ep-s1674292617,DoS Slowhttptest,2,1614,34
1674292617,Test2,None,LogReg-25ep-s1674292617,DoS slowloris,6,49,1684
1674292617,Test2,None,RF-25ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-25ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-25ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-25ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-25ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-25ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-30ep-s1674292617,BENIGN,14517,35,448
1674292617,Test2,None,MLP-30ep-s1674292617,DoS Slowhttptest,90,1423,137
1674292617,Test2,None,MLP-30ep-s1674292617,DoS slowloris,205,66,1468
1674292617,Test2,None,LogReg-30ep-s1674292617,BENIGN,14621,164,215
1674292617,Test2,None,LogReg-30ep-s1674292617,DoS Slowhttptest,6,1625,19
1674292617,Test2,None,LogReg-30ep-s1674292617,DoS slowloris,6,46,1687
1674292617,Test2,None,RF-30ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-30ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-30ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-30ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-30ep-s1674292617,DoS Slowhttptest,1,1644,5
