Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
Test2,CVAE,MLP-25ep-avg,BENIGN,0.9774367527399244,0.9685266666666668,0.9728892151983027,15000.0,50000.0
Test2,CVAE,MLP-25ep-avg,DoS Slowhttptest,0.8389939097369675,0.8494545454545455,0.8342702576029766,1650.0,5499.0
Test2,CVAE,MLP-25ep-avg,DoS slowloris,0.7747477249447086,0.8026451983898794,0.7815067225702663,1739.0,5796.0
Test2,CVAE,MLP-2ep-avg,BENIGN,0.9488539577251573,0.9238999999999999,0.9350650211284837,15000.0,50000.0
Test2,CVAE,MLP-2ep-avg,DoS Slowhttptest,0.6624204799165715,0.8110909090909091,0.7174824355580081,1650.0,5499.0
Test2,CVAE,MLP-2ep-avg,DoS slowloris,0.6420407789911369,0.5653248993674526,0.5784461906461995,1739.0,5796.0
Test2,CVAE,MLP-30ep-avg,BENIGN,0.9702459721435103,0.9777333333333333,0.9738657300267175,15000.0,50000.0
Test2,CVAE,MLP-30ep-avg,DoS Slowhttptest,0.8649680632617773,0.8474545454545455,0.8502997392390803,1650.0,5499.0
Test2,CVAE,MLP-30ep-avg,DoS slowloris,0.777436409816463,0.721679125934445,0.736724443894628,1739.0,5796.0
Test2,CVAE,MLP-3ep-avg,BENIGN,0.9517017472881703,0.9018599999999999,0.9242049723069158,15000.0,50000.0
Test2,CVAE,MLP-3ep-avg,DoS Slowhttptest,0.662644087954184,0.7937575757575758,0.6970672100485613,1650.0,5499.0
Test2,CVAE,MLP-3ep-avg,DoS slowloris,0.6430719539677778,0.6597469810235768,0.6302649510637118,1739.0,5796.0
Test2,CVAE,MLP-50ep-avg,BENIGN,0.9843288455147249,0.9642866666666666,0.9740563236554157,15000.0,50000.0
Test2,CVAE,MLP-50ep-avg,DoS Slowhttptest,0.8499853810257578,0.8084848484848484,0.7970325979602635,1650.0,5499.0
Test2,CVAE,MLP-50ep-avg,DoS slowloris,0.7367542314162511,0.8374353076480736,0.7624059937028915,1739.0,5796.0
Test2,CVAE,MLP-5ep-avg,BENIGN,0.9613579610461848,0.9197333333333333,0.9394062240684387,15000.0,50000.0
Test2,CVAE,MLP-5ep-avg,DoS Slowhttptest,0.6805748660349441,0.8019999999999999,0.7173726090261476,1650.0,5499.0
Test2,CVAE,MLP-5ep-avg,DoS slowloris,0.7106125683660787,0.7456009200690052,0.7229233570182413,1739.0,5796.0
Test2,CVAE,RF-100ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-100ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
